date,open,high,low,close,volume
3/3/17,11.4355,11.4529,10.5412,10.628,10116005
3/6/17,10.5933,10.7755,10.2459,10.4196,5588380
3/7/17,10.3762,10.5151,10.1244,10.1765,5369536
3/8/17,10.1244,10.3675,10.0115,10.2633,4362915
3/9/17,10.2025,10.3154,10.107,10.2199,3104399
3/10/17,10.1852,10.4596,10.1418,10.4022,2729348
3/13/17,10.3501,10.4978,10.107,10.1418,2632542
3/14/17,10.1765,10.2286,9.8726,10.107,3126768
3/15/17,10.1331,10.259,9.8639,10.2546,2346258
3/16/17,10.2459,10.4717,10.1852,10.4717,2861417
3/17/17,10.5325,10.5499,10.1939,10.4196,4194283
3/20/17,10.4196,10.4891,10.0645,10.1331,4382651
3/21/17,10.1852,10.1852,9.6034,9.9247,3748271
3/22/17,9.8378,9.8986,9.4037,9.586,5388686
3/23/17,9.6034,9.9073,9.6034,9.7684,2800011
3/24/17,9.7771,9.9247,9.6816,9.8205,1948839
3/27/17,9.725,10.1853,9.6816,10.0462,2956310
3/28/17,9.9855,10.3154,9.9855,10.2894,2843629
3/29/17,10.298,10.819,10.2894,10.6627,5032233
3/30/17,10.602,10.793,10.5064,10.628,3193533
3/31/17,10.628,10.7669,10.2373,10.3588,3516864
4/3/17,10.3328,10.3588,9.8378,9.8639,3744393
4/4/17,9.7597,9.7771,9.3342,9.4905,5979221
4/5/17,9.5253,9.5774,9.1519,9.2214,3985213
4/6/17,9.3255,9.5774,9.1866,9.23,4263149
4/7/17,9.2127,9.3082,9.1172,9.2214,3174352
4/10/17,9.2908,9.6737,9.2387,9.4905,3257627
4/11/17,9.4905,9.7857,9.3342,9.751,3250435
4/12/17,9.7423,9.8118,9.6121,9.6642,1669125
4/13/17,9.6642,9.6989,9.3169,9.395,2429985
4/17/17,9.4037,9.5166,9.2387,9.4992,1948242
4/18/17,9.6034,9.6685,9.3603,9.586,2760373
4/19/17,9.6121,9.7944,9.5947,9.6468,1865421
4/20/17,9.751,10.437,9.7337,10.1591,6079751
