date,open,high,low,close,volume
2/4/16,34.14,35.196,33.398,35.066,21926830
2/5/16,34.26,34.6,31.5488,32.52,47187955
2/8/16,31.421,31.43,29.2,29.598,46564940
2/9/16,28.464,31.958,28.21,29.65,43258240
2/10/16,30.1,30.994,28.348,28.734,52032565
2/11/16,30.4,32.652,29.4,30.094,71261820
2/12/16,31,31.402,28.74,30.208,36178915
2/16/16,31.74,32.59,30.822,31.034,27968970
2/17/16,31.8,33.868,31.336,33.736,29125795
2/18/16,34.484,34.59,32.954,33.354,19437870
2/19/16,32.732,33.498,32.5,33.316,14796950
2/22/16,34.024,35.782,33.97,35.548,25300255
2/23/16,35.232,36.346,34.736,35.442,29921870
2/24/16,34.55,35.9,33.568,35.8,26978045
2/25/16,35.73,37.7038,35.04,37.486,28753705
2/26/16,37.74,38.4,37,38.068,30325585
2/29/16,38.48,39.27,37.8444,38.386,22494985
3/1/16,38.85,39.1897,36.54,37.27,33560795
3/2/16,36.746,37.704,36.3,37.668,24311980
3/3/16,37.656,39.484,36.844,39.148,24145090
3/4/16,39.6,40.806,39.5,40.208,32445290
3/7/16,39.536,41.94,39.48,41.058,26685360
3/8/16,40.7,41.5,40.44,40.52,19893610
3/9/16,40.904,41.8745,40.558,41.744,16042770
3/10/16,42,42.658,40.1342,41.036,25962615
3/11/16,41.586,41.884,41.066,41.5,16715385
3/14/16,42.53,43.344,42.128,43.03,20328530
3/15/16,42.854,43.794,42.3,43.668,15902260
3/16/16,43.6,44.516,43.404,44.386,17583515
3/17/16,44.294,45.7,44,45.276,18914455
3/18/16,45.82,46.896,45.612,46.548,23558965
3/21/16,47.068,47.976,47,47.664,26539110
3/22/16,47.442,47.798,46.5116,46.848,21579940
3/23/16,46.474,46.946,44.406,44.516,24744205
3/24/16,43.156,45.7775,43,45.55,24804500
3/28/16,46.322,46.962,45,46.052,19628425
3/29/16,45.978,46.476,45.066,46.026,20071650
3/30/16,47.018,47.1,45.3,45.378,20164910
3/31/16,45.868,47.484,45.002,45.954,40064360
4/1/16,48.965,49.58,46.65,47.518,79987545
4/4/16,49.824,50.424,48.728,49.398,67376635
4/5/16,48.1,51.312,48,51.094,49743495
4/6/16,50.794,53.548,50.69,53.084,58527395
4/7/16,53.29,53.868,50.902,51.44,44280855
4/8/16,52.1,52.164,49.604,50.014,36819675
4/11/16,50.2,51.798,49.06,49.984,45808465
4/12/16,49.9,50.36,48.726,49.564,28816040
4/13/16,49.702,51.1,49.466,50.906,24627975
4/14/16,50.6,51.3678,50.21,50.372,20660925
4/15/16,50.262,50.92,49.824,50.902,18761830
4/18/16,50.446,51.662,50.332,50.776,21356810
4/19/16,50.624,50.874,48.2502,49.474,31787630
4/20/16,49.252,50.732,48.3,49.994,25970255
4/21/16,49.798,50.18,49.382,49.658,13915295
4/22/16,49.778,50.8,49.142,50.75,18931635
4/25/16,50.602,51.476,50.152,50.364,18351740
4/26/16,50.41,51.146,49.878,50.748,16119195
4/27/16,50.55,51,49.88,50.294,16029040
4/28/16,49.97,50.686,49.488,49.542,12594950
4/29/16,49.628,49.686,47.562,48.152,27068935
5/2/16,48.3,48.638,46.964,48.36,19219675
5/3/16,47.472,47.782,46.324,46.464,21511110
5/4/16,46.058,46.892,44.08,44.512,43502295
5/5/16,45.692,45.728,41.958,42.306,56274135
5/6/16,42.174,43.274,41.622,42.986,28426185
5/9/16,43.144,43.23,41.36,41.784,23881915
5/10/16,41.51,41.894,41,41.738,20353085
5/11/16,41.518,43.096,41.21,41.792,25809320
5/12/16,42.288,42.334,40.7314,41.456,18252375
5/13/16,41.556,42.24,41.34,41.522,14113905
5/16/16,41.63,42.63,41.584,41.658,14746980
5/17/16,41.81,41.964,40.804,40.932,14217985
5/18/16,41.83,43.062,41.55,42.234,28087595
5/19/16,42.724,43.358,41.46,43.042,34331605
5/20/16,43.398,44.11,43.27,44.056,45035380
5/23/16,43.974,44.52,43.172,43.244,25512395
5/24/16,43.32,43.748,43.036,43.582,15069215
5/25/16,43.582,44.272,43.302,43.916,15663075
5/26/16,44.1,45.052,43.81,45.024,20362120
5/27/16,44.998,45.186,44.15,44.608,18251360
5/31/16,44.608,44.9499,44.3,44.646,13945010
6/1/16,44.296,44.48,43.378,43.912,14913475
6/2/16,43.918,43.9818,43.422,43.792,10164160
6/3/16,44,44.388,43.602,43.798,11144850
6/6/16,43.6,44.18,43.09,44.136,11247540
6/7/16,44.448,46.888,44.304,46.468,31067865
6/8/16,46.76,48.169,46.521,47.104,29859975
6/9/16,46.996,47.066,45.412,45.872,22460375
