date,open,high,low,close,volume
11/25/16,13.55,13.575,13.25,13.45,107480
11/28/16,13.4,13.5,13.05,13.2,498672
11/29/16,13.1,13.6,13,13.35,834234
11/30/16,13.45,13.75,13.25,13.75,517910
12/1/16,13.75,15.25,13.65,15.25,1137962
12/2/16,15.15,16.2,14.85,15.2,1175939
12/5/16,15.25,16,15.1,15.75,707675
12/6/16,15.85,16.05,15.6336,15.95,484599
12/7/16,15.95,16.65,15.95,16.6,457620
12/8/16,16.55,16.85,16.45,16.55,490283
12/9/16,16.55,16.85,16.4,16.6,474915
12/12/16,16.65,16.65,15.95,16,375423
12/13/16,16.2,16.6,15.8,16.35,574852
12/14/16,16.3,16.6,16.2253,16.45,230773
12/15/16,16.4,16.8,16.3,16.4,319617
12/16/16,16.5,16.65,16.25,16.45,640779
12/19/16,16.35,16.65,16.3,16.5,385496
12/20/16,16.35,16.65,16.3,16.55,269322
12/21/16,16.45,16.8,16.45,16.7,336190
12/22/16,16.75,16.8,16.25,16.5,236975
12/23/16,16.45,16.65,16.35,16.55,182606
12/27/16,16.5,16.65,16.35,16.45,180956
12/28/16,16.5,16.6,16.3,16.55,263590
12/29/16,16.6,16.85,16.45,16.8,345527
12/30/16,16.75,17,16.5664,16.95,535403
1/3/17,17.1,17.5,16.55,17.05,490239
1/4/17,17.2,17.35,16.55,16.9,425836
1/5/17,16.85,17.15,16.4,16.65,218142
1/6/17,16.75,16.8,16.5,16.6,220185
1/9/17,16.2,16.45,15.65,16.1,891053
1/10/17,16.25,16.6,16.1,16.5,779186
1/11/17,16.6,16.75,16.2,16.7,469811
1/12/17,16.55,16.645,16.05,16.15,543598
1/13/17,16.25,16.5,15.9,16,239680
1/17/17,15.85,15.95,15.35,15.45,340825
1/18/17,15.5,16.2,15.4,15.8,443515
1/19/17,15.8,15.9,15.5,15.55,253729
1/20/17,15.55,15.7,15.35,15.5,193984
1/23/17,15.45,15.65,15.35,15.4,183875
1/24/17,15.4,16.05,15.4,15.95,223507
1/25/17,16.1,16.15,15.8,16,190793
1/26/17,15.95,16.2,15.45,15.5,190155
1/27/17,15.5,15.6,15.425,15.5,109169
1/30/17,15.35,15.35,14.9,15.1,196871
1/31/17,15.05,15.6,15,15.5,227825
2/1/17,15.55,15.8,15.45,15.6,287929
2/2/17,15.55,16,15.5,15.65,270715
2/3/17,15.7,16.15,15.65,16,457046
2/6/17,15.95,16.05,15.35,15.5,216829
2/7/17,15.6,15.85,15.3,15.4,213916
2/8/17,15.3,15.7,15.1,15.5,225023
2/9/17,15.55,15.725,15.4,15.6,97794
2/10/17,15.75,16.25,15.63,16.15,315126
2/13/17,16.15,16.35,16,16.25,281738
2/14/17,16.15,16.4,15.775,16,273017
2/15/17,15.9,16.8,15.9,16.6,600819
2/16/17,16.65,16.656,15.9,16.4,322505
2/17/17,16.4,16.55,16.2,16.55,168206
2/21/17,16.65,16.7,16.225,16.4,180224
2/22/17,16.35,16.65,16.25,16.4,146135
2/23/17,16.5,16.6,15.95,16.05,381042
2/24/17,15.9,16.25,15.9,16.1,139996
2/27/17,16.1,16.2001,15.9,16.15,132583
2/28/17,16.15,16.4,15.95,16.3,292483
3/1/17,16.45,17.325,16.4,17.15,602983
3/2/17,17.2,17.75,17.1,17.7,524569
3/3/17,17.7,18.3,17.7,18.2,1203096
3/6/17,18.25,18.325,17.95,18.05,769524
3/7/17,18,18.1,17.8,18,435664
3/8/17,18.15,18.55,17.85,18.1,382355
3/9/17,18.15,18.285,17.45,17.75,680295
3/10/17,17.8,18.45,17.55,18.05,658520
3/13/17,18.05,19,18.05,18.7,443942
3/14/17,18.7,19.3,18.4,19.15,376173
3/15/17,19.2,19.8,19.15,19.7,2034966
3/16/17,19.8,19.85,18.5,18.6,547334
3/17/17,18.6,19.2,18.55,18.85,569919
3/20/17,18.8,18.9,18.5,18.65,197736
3/21/17,18.65,18.8,17.55,17.6,469483
3/22/17,17.6,17.9999,17.4,17.55,294420
3/23/17,17.5,18,17.5,17.65,328100
3/24/17,17.65,18.05,17.5,17.7,210945
3/27/17,17.5,18.05,17.45,17.9,227557
3/28/17,17.9,18.9,17.75,18.9,671614
3/29/17,18.8,18.9,18.4,18.75,288744
3/30/17,18.75,19.05,18.45,18.95,205482
3/31/17,18.95,19.1,18.55,18.925,367648
4/3/17,18.8,18.95,18.6,18.875,273003
4/4/17,18.85,19.1,18.7,19.1,249833
4/5/17,19.2,19.3,18.625,18.8,469401
4/6/17,18.9,19.35,18.65,19.25,643361
4/7/17,19.2,19.3,19.1,19.2,290309
4/10/17,19.25,19.35,18.95,19.2,207881
4/11/17,19.25,19.7,19.052,19.6,395055
4/12/17,19.55,19.6,18.9,19.05,214854
4/13/17,19.05,19.075,18.35,18.5,265477
4/17/17,18.55,18.9,18.35,18.7,401133
4/18/17,18.7,18.8,18.019,18.6,533913
4/19/17,18.75,19.0999,18.45,18.8,654551
4/20/17,18.95,19.25,18.55,19.1,467499
4/21/17,19.1,19.1,18,18.4,636677
4/24/17,18.5,18.5,17.3,17.8,2341874
4/25/17,17.9,18.6,17.75,18.4,1574325
4/26/17,18.4,19.75,18.4,19.5,1243894
4/27/17,19.6,19.675,18.6,19.25,890372
4/28/17,18.9,19.55,18.65,19.125,849893
5/1/17,19.2,19.35,18.75,19.15,949051
5/2/17,19.1,19.525,18.9,19.3,809918
5/3/17,19.15,19.65,18.95,19.55,996982
5/4/17,19.6,19.85,19.175,19.55,908018
5/5/17,18.45,20.15,18.05,20,1279694
5/8/17,20,20.05,19.35,19.9,1588442
5/9/17,20,20.625,19.75,20.45,3036390
5/10/17,20.6,21.15,20.2501,20.9,1483288
5/11/17,20.8,21,20.2501,20.55,1090643
5/12/17,20.45,20.8426,20.2003,20.7,839452
5/15/17,20.75,20.85,20.475,20.7,979743
5/16/17,20.8,20.9,20.45,20.65,801449
5/17/17,20.3,20.55,20.05,20.225,914502
5/18/17,20.1,20.25,19.7499,19.95,1052469
5/19/17,20.1,20.175,19.7,19.7,759037
5/22/17,19.75,20.55,19.75,20.45,630493
5/23/17,20.55,20.8,20.2,20.55,1574599
5/24/17,20.55,20.8,20.55,20.8,471034
5/25/17,20.8,20.8,20.45,20.5,498793
5/26/17,20.5,20.8,20.3375,20.55,950605
5/30/17,20.55,20.7,20.4,20.7,392109
5/31/17,20.8,20.9,20.25,20.75,535918
6/1/17,20.8,20.95,20.45,20.85,394581
6/2/17,20.8,21,20.55,20.85,556618
6/5/17,20.8,21.05,20.5,20.85,430493
6/6/17,20.7,21.0875,20.525,20.95,535485
6/7/17,20.95,21.8,20.8,21.6,1518142
6/8/17,21.5,21.825,21.3,21.5,938967
6/9/17,21.5,21.65,21.225,21.25,486911
6/12/17,21.25,21.5,21.05,21.4,476272
6/13/17,21.55,21.75,21.4,21.55,449568
6/14/17,21.5,21.5,20.75,20.8,898729
6/15/17,20.6,21.5,20.1,20.45,642695
6/16/17,20.1,20.45,19.9,20.25,827391
6/19/17,20.4,20.9,20.3,20.75,624928
6/20/17,20.75,21,20.1,20.45,594913
6/21/17,20.45,20.65,20.2,20.5,499672
6/22/17,20.45,20.45,19.9,20.15,598946
6/23/17,20.2,20.4,19.9,20.25,1029048
6/26/17,20.3,20.55,20.001,20.4,839725
6/27/17,20.35,20.55,19.95,20,375940
6/28/17,20.05,20.5,19.9,20.45,1544055
6/29/17,20.55,20.55,19.55,19.65,609322
6/30/17,19.65,20.05,19.5,20,465741
7/3/17,20.1,20.125,19.625,19.8,266133
7/5/17,19.75,19.8,19.25,19.35,504565
7/6/17,19.15,19.75,19.1,19.2,330184
7/7/17,19.3,19.65,19.05,19.4,279188
7/10/17,19.45,19.85,19.1,19.3,269283
7/11/17,19.35,19.5,19.05,19.45,491645
7/12/17,19.6,19.7,19.35,19.55,541283
7/13/17,19.6,19.6,18.8,19.2,383043
7/14/17,19.15,19.325,18.95,19.3,328576
7/17/17,19.35,19.4,18.9,19.1,402990
7/18/17,19.1,19.7,18.95,19.5,1230618
7/19/17,19.6,19.9,19.5,19.8,426834
7/20/17,20,20.75,20,20.6,1332467
7/21/17,20.7,21,20.4,20.6,836371
7/24/17,20.6,21,20.525,20.9,1038620
7/25/17,21,21.05,20.65,20.95,890748
7/26/17,21,21,20.7,20.8,741986
7/27/17,20.85,21,20.2,20.25,549199
